Razón Social,Estado,Municipio,Domicilio,Colonia,C.P.,Teléfono,E-mail,tipo_hospedaje,id_propietario,destino_id
HOTEL JA (AV. HIDALGO 656),Jalisco,Guadalajara,Avenida HIDALGO 656 int .,Colonia CENTRO,44200,3336581051,hoteljorgealejandro@gmail.com,Hotel,645,6
HOTELERA CAI ( AV GUADALUPE 596 ),Jalisco,Guadalajara,Avenida AV GUADALUPE 596-594 int .,Colonia CHAPALITA,44500,3338351338,reservaciones@hotelbecquer.com.mx,Hotel,646,91
DESARROLLO MONTEVERDE (AV. FRANCISCO JAVIER GAMBOA #388),Jalisco,Guadalajara,Avenida AV. FRANCISCO JAVIER GAMBOA 388 int .,Colonia ARCOS,44150,3336155194,biancavaldivia@monteverde.com.mx,Hotel,647,56
GRUPO HOTELERO YAXCHE ( JUAREZ 546),Jalisco,Guadalajara,Avenida JUAREZ 596 int .,Colonia GUADALAJARA CENTRO,44100,3523347310,,Hotel,648,1
HOTEL DEL BOSQUE EJECUTIVO,Jalisco,Guadalajara,Avenida NIÑOS HEROES 2655 int .,Colonia JARDINES DEL BOSQUE CENTRO,44520,3331220214,delbosqueejecutivo@hotmail.com,Hotel,649,67
GRUPO LIBEA MARCELINO GARCIA BARAGAN 1954),Jalisco,Guadalajara,Boulevard MARCELINO GARCIA BARRAGAN 1954 int .,Colonia ATLAS,44870,3336596298,GPOLIBEA@HOTMAIL.COM,Hotel,650,104
HOTEL SAN FELIPE,Jalisco,Guadalajara,Calle SAN FELIPÉ 752 int .,Colonia CENTRO,44100,3317211652,lromolucio10@gmail.com,Hotel,651,69
HOTEL PLATINO (PLATINO 2471),Jalisco,Guadalajara,Calle PLATINO 2471 int .,Colonia VERDE VALLE,44550,3320030213,administracion@hotelplatinoexpo.com,Hotel,652,88
SERVICIOS ARANZAZU SA DE CV (CALLE FERROCARRIL 54),Jalisco,Guadalajara,Calle CALLE FERROCARRIL 54 int PISO 11,Colonia GUADALAJARA CENTRO,44100,3339424042,mguardado@aranzazu.com.mx,Hotel,653,93
HOTEL DEL CENTRO ( PAVO 47),Jalisco,Guadalajara,Calle PAVO 47 int .,Colonia CENTRO,44100,3314665701,ana.gonzalezm@hotmail.com,Hotel,654,95
HOTEL CERVANTES,Jalisco,Guadalajara,Calle PRISCILIANO SANCHEZ 442 int .,Colonia GUADALAJARA CENTRO,44100,3338255816,dinafi2000@yahoo.com.mx,Hotel,655,95
HOTEL COLON ( SAN FERNANDO 362),Jalisco,Guadalajara,Calle SAN FERNANDO 362 int N/A,Colonia CENTRO,44639,3336133390,hcgloria1@hotmail.com,Hotel,656,86
HOTEL BERMEJO GALVAN BERTHA ( JUAN DE DIOS ROBLEDO 42),Jalisco,Guadalajara,Calle JUAN DE DIOS ROBLEDO 42 int .,Colonia OBLATOS,44730,3336555266,BETHBC@OUTLOOK.COM,Hotel,657,26
HOTEL HOSTELIT ( DEGOLLADO 407),Jalisco,Guadalajara,Calle DEGOLLADO 407 int N/A,Colonia CENTRO,44100,3312005505,hostel_lit@hotmail.com,Hotel,658,47
HOTEL INDEPENDENCIA ( AV. PASEO DE LOS HEROES 9365-501),Jalisco,Guadalajara,Calle GRECIA 48 int N/A,Colonia GUADALAJARA CENTRO,44100,3336592422,ALEJANDROMEJIA78@HOTMAIL.COM,Hotel,659,56
HOTEL CASINO PLAZA (PEDRO MORENO),Jalisco,Guadalajara,Calle PEDRO MORENO 726 int N/A,Colonia CENTRO,44100,3336140223,compras@hotelcasinoplaza.mx,Hotel,660,9
HOTEL SIN NOMBRE,Jalisco,Guadalajara,Calle FRANCISCO I. MADERO 381 int N/A,Colonia CENTRO,44100,3336146726,CONTADORLOMELI@HOTMAIL.COM,Hotel,661,86
CASA PEDRO LOZA (JOAQUIN ANGULO 334 A),Jalisco,Guadalajara,Calle JOAQUIN ANGULO 334 int A,Colonia CENTRO,44100,3338225040,fdeluna@casapedroloza.com,Hotel,662,43
HOTEL DALI PLAZA ( PEDRO MORENO 570),Jalisco,Guadalajara,Calle PEDRO MORENO 570 int N/A,Colonia GUADALAJARA CENTRO,44100,3336130330,gerencia@hoteldaliplaza.com,Hotel,663,80
HOTEL DE MENDOZA,Jalisco,Guadalajara,Calle VENUSTIANO CARRANZA 16 int N/A,Colonia CENTRO,44100,3339425154,olgavgomez@demendoza.com.mx,Hotel,664,41
HOTEL SAN FRANCISCO PLAZA,Jalisco,Guadalajara,Calle DEGOLLADO 267 int .,Colonia GUADALAJARA CENTRO,44100,3336138954,dinafi2000@yahoo.com.mx,Hotel,665,85
VALIÑAS CASAS MANUEL ( CALZADA INDEPENDENCIA SUR 230),Jalisco,Guadalajara,Calzada INDEPENDENCIA 230 int N/A,Colonia SAN JUAN DE DIOS,44639,3336136484,hvigogdl@hotmail.com,Hotel,666,109
RUBI RED . (CALZ. INDEPENDENCIA 746),Jalisco,Guadalajara,Calzada INDEPENDENCIA 746 int N/A,Colonia CENTRO,44100,3336133741,casa_blanca746@hotmail.com,Hotel,667,16
HOTEL ARBOLEDAS,Jalisco,Guadalajara,Calzada GOBERNADOR CURIEL 2764 int N/A,Zona industrial ZONA INDUSTRIAL,44940,3310578174,gerencia@lavatronic.com,Hotel,668,93
HOTEL LUAR,Jalisco,Guadalajara,Avenida AV. REVOLUCIÓN 1905 int 0,Colonia LA LOMA,44800,3635466556,,Hotel,669,39
SUITES DEL REAL,Jalisco,Guadalajara,Avenida LOPEZ MATEOS SUR 5045 int 0,Colonia LA CALMA,45070,3335637100,,Hotel,670,65
HOTEL LUAR,Jalisco,Guadalajara,Avenida REVOLUCION 1905 int O,Colonia LA LOMA,44806,3336254665,,Hotel,671,40
H0TEL ASTUR,Jalisco,Guadalajara,Avenida CALZADA INDEPENDENCIA 298 int 0,Colonia SAN JUAN DE DIOS,44360,3336136808,,Hotel,672,86
HOTEL ANAVBELA,Jalisco,Guadalajara,Calle HUERTAS 20 int 0,Colonia CENTRO,44100,,,Hotel,673,53
HOTEL METROPOLITANO,Jalisco,Guadalajara,Calle CALZADA INDEPENDENCIA 50 int 0,Colonia CENTRO,44100,,,Hotel,674,42
HOTEL,Jalisco,Guadalajara,Calle INDEPENDENCIA 73 int 0,Colonia CENTRO,44100,,,Hotel,675,52
HOTELES ARBOLEDAS EXPO,Jalisco,Guadalajara,Calle ARBOLEDA 1302 int 0,Colonia RESINDECIAL DEL BOSQUE,44510,,,Hotel,676,90
HOTEL COSTA BRAVA,Jalisco,Guadalajara,Calle INDEPENDENCIA 739 int 0,Colonia BARRAGAN,44450,,,Hotel,677,38
HOTEL HUSPEDES,Jalisco,Guadalajara,Calle BELISARIO DOMINGUEZ 696 int 0,Colonia LA PERLA,44370,,,Hotel,678,71
HOTEL CHAPALA,Jalisco,Guadalajara,Calle JOSE MA MERCADO 847 int 0,Colonia SAN JUAN DE DIOS,44360,,,Hotel,679,17
INMOBILIARIA FEDERALISMO,Jalisco,Guadalajara,Calle FEDERALISMO 982 int 0,Colonia ATEMAJAC,45190,,,Hotel,680,25
HOTEL LA PAZ,Jalisco,Guadalajara,Calle LA PAZ 109 int 0,Colonia MEXICANTIZO,44180,,,Hotel,681,54
HOTEL PLATINO,Jalisco,Guadalajara,Calle GIGANTYES 2389 int 0,Colonia SAN ANDRES,44730,,,Hotel,682,86
HOTEL BAHIA,Jalisco,Guadalajara,Calle BELISARIO DOMINGUEZ 673 int 0,Colonia LA PERLA,44700,,,Hotel,683,49
GRUPO BELISARIO,Jalisco,Guadalajara,Calle BELISARIO DOMINGUEZ 673 int 0,Colonia LA PERLA,44360,,,Hotel,684,87
HOTEL DEL SOL,Jalisco,Guadalajara,Calle GRECIA 180 int 0,Colonia SAN JUAN DE DIOS,44360,3336139338,,Hotel,685,96
HOTEL LAS FRESAS,Jalisco,Guadalajara,Calle Fray Antonio Margil de Jesús 125 int 0,Colonia LA PERLA,44360,3336178060,,Hotel,686,23
HOTEL SANTA IRENE,Jalisco,Guadalajara,Calzada Lázaro Cárdenas 1060 int 0,Colonia Morelos,44910,3339152121,,Hotel,687,79
HOTEL SIN NOMBRE,Jalisco,La Manzanilla de la Paz,Calle COLON 102 int NA,Colonia CENTRO,49460,3315718375,ROSNIEVG@GMAIL.COM,Hotel,688,73
INDUSTRIAL MUEBLERA SAN AGUSTIN,Jalisco,Tlajomulco de Zúñiga,Calle VICENTE GUERRERO 8 Y 10 int -,Pueblo SAN AGUSTIN,45645,3336860861,asistente@sanagustinfurniture.com,Hotel,689,39
ROMADA ENCORE,Jalisco,Tlajomulco de Zúñiga,Avenida LOPEZ MATEOS SUR 1710 int B,Colonia SANTA ISABEL,45645,3338986000,gerencia@encoreguadalajara.com,Hotel,690,52
HOTEL TUTSY,Jalisco,San Pedro Tlaquepaque,Calle REAL A COLIMA 198 int 0,Colonia SATA ANITA CAMINO REAL,45600,,,Hotel,691,71
HOTEL DON MAXIMO,Jalisco,San Pedro Tlaquepaque,Calle CAMINO A LA FELICIDAD 20 int 0,Colonia BUENAVISTA,0,3334597602,,Hotel,692,107
"GRUPO OPERATIVO DE TLAQUEPAQUE, S.A. DE C.V.",Jalisco,San Pedro Tlaquepaque,Avenida AV DE LAS TORRES 6236 int NA,Colonia NUEVA CENTRAL  CAMIONERA,45580,3336000191,,Hotel,693,1
CASA MORALES HOTEL BOUTIQUE,Jalisco,San Pedro Tlaquepaque,Calle MORELOS 277 int NA,Colonia CENTRO,45500,3328341120,,Hotel,694,39
HOTEL DEX TLAQUEPAQUE,Jalisco,San Pedro Tlaquepaque,Calle MORELOS 285 int NA,Colonia CENTRO,45500,3329404110,,Hotel,695,37
HOTEL ABADIA DE SAN PEDRO,Jalisco,San Pedro Tlaquepaque,Calle 5 DE MAYO 80 int NA,Colonia CENTRO,45500,3313275538,adriana.reyes@gmail.com,Hotel,696,27
HOTEL PUERTA SAN PEDRO,Jalisco,San Pedro Tlaquepaque,Calle CARRILLO PUERTO 212 int NA,Colonia CENTRO,45500,,,Hotel,697,56
ESLYE BERENICE PANDURO  GONZALEZ (HOTEL CASA DEL  RETOÑO),Jalisco,San Pedro Tlaquepaque,Calle MATAMOROS 182 int NA,Colonia CENTRO,45500,3336357636,cpanduro@xn--casadelretoo-khb.com.mx,Hotel,698,101
JUANA ORALIA CAMPOS ROSALES  (HOTEL CASA CAMPOS),Jalisco,San Pedro Tlaquepaque,Calle FRANCISCO  I MADERO 30 int NA,Colonia CENTRO,45500,3338385297,HOLA@CASACAMPOS.MX,Hotel,699,75
ISMAEL  ORTIZ MAYORAL,Jalisco,San Pedro Tlaquepaque,Calle JUAREZ 234 int NA,Colonia CENTRO,45500,3338381100,SANPIETROBOUTIQUE@GMAIL.COM,Hotel,700,78
"POHASA, S DE RL DE C.V.",Jalisco,San Pedro Tlaquepaque,Calle FLORIDA 305 int NA,Colonia CENTRO,45500,3336358792,reservaciones@xn--villadelensueo-2nb.com,Hotel,701,84
HOTEL  CENTRAL PARADOR,Jalisco,San Pedro Tlaquepaque,Carretera CARRETERA  LIBRE  A ZAPOTLANEJO 1500 int NA,Colonia NUEVA  CENTRAL   CAMIONERA,45580,3334516583,,Hotel,702,42
Motel San Francisco,Jalisco,Tonalá,Avenida Tonaltecas 172 int C,Colonia Centro,45400,3315237860,,Hotel,703,60
Hotel Arana,Jalisco,Tonalá,Avenida Tonalá 206 int -,Colonia Tonalá Centro,45400,3318708184,,Hotel,704,57
Hotel Casa de las Palomas,Jalisco,Tonalá,Calle Anesagasti 125 int -,Ciudad Tonalá,45400,3336835542,hotelcasadelaspalomas@gmail.com,Hotel,705,57
Motel Altavista,Jalisco,Tonalá,Periférico Ote 399 int -,Colonia Pachanguillo,45400,3334925896,,Hotel,706,87
HOTEL VILLA PALACE	ACERO PEREZ MARTINA,Jalisco,Villa Hidalgo,Calle VENUSTIANO CARRANZA 321 int N/A,Colonia CENTRO,47250,4959680767,martinaaceroperez@hotmail.com,Hotel,707,28
HOTEL ARENAS (FRANCISCO I. MADERO 340),Jalisco,Zacoalco de Torres,Calle FRANCISCO I. MADERO 340 int N/A,Colonia LA PALMA,45750,3264230332,hotelarenas@live.com,Hotel,708,66
VALLARTA INTERNACIONAL,Jalisco,Zapopan,Avenida ARCO ALEJANDRO 455 int N/A,Colonia ARCOS DE ZAPOPAN,45130,3336789980,lvirgen@agacentro.com.mx,Hotel,709,61
SUITES INTERNACIONAL (SAN IGNACIO 63),Jalisco,Zapopan,Avenida SAN IGNACIO 63 int N/A,Fraccionamiento JARDINES DE SAN IGNACIO,45040,3331222625,GFHIGAREDA@YAHOO.COM.MX,Hotel,710,102
FORSA EXPRESS GUADALAJARA ( MARIANO OTERO 2397),Jalisco,Zapopan,Avenida MARIANO OTERO 2397 int NA,Residencial VICTORIA,45089,3350008080,o.miranda@citelis.mx,Hotel,711,102
GRUPO HOTELERO MEXICANO,Jalisco,Zapopan,Avenida LOPEZ MATEOS SUR 1280 int .,Colonia CAMPO POLO,45040,3331212424,contralor@operatium.mx,Hotel,712,95
ADMINISTRADORA DE HOTELES GRT(AV. IGNACIO L. VALLARTA 5005),Jalisco,Zapopan,Avenida IGNACIO L. VALLARTA 5005 int .,Colonia CHAPALITA,45040,3331342424,,Hotel,713,22
LUIS ALBERTO COBIAN BARRIOS,Jalisco,Zapopan,Avenida AV. VALLARTA 3999 int .,Colonia DON BOSCO VALLARTA,45049,3310430712,nay7775@hotmail.com,Hotel,714,85
AQUA OPERADORA HOTELERA ( CARR. GUADALAJARA-NOGALES 440-3),Jalisco,Zapopan,Calle CARRETERA GUADALAJARA - NOGALES 440 int 3,Colonia SAN JUAN DE OCOTAN,45019,3329941020,alma.ibanez@grupokinza.mx,Hotel,715,11
VAGABUNDO INN,Jalisco,Zapopan,Calle RINCON DE LAS CEIBAS 72 int N/A,Colonia RINCONADA DEL SOL,44538,3336476582,vagabundoinn@gmail.com,Hotel,716,37
DOXO CALZADA CENTRAL 29,Jalisco,Zapopan,Calzada CENTRAL 29 int ..,Colonia CIUDAD GRANJA,45010,3336270712,gerencia@alcazarsuites.com,Hotel,717,66
AUTO HOTELES EL REY,Jalisco,Zapopan,Periférico PONIENTE 4101 int NA,Pueblo SAN JUAN DE OCOTAN,45010,3331651132,azulzafiro_vip@gmail.com,Hotel,718,85
COUNTRY PLAZA / PROLONGACION DE LAS AMERICAS 1170,Jalisco,Zapopan,Prolongación DE LAS AMERICAS 1170 int N/A,Residencial SAN MIGUEL DE LA COLINA,45160,3332084633,CXP@COUNTRYPLAZA.COM.MX,Hotel,719,82
FERRAN,Jalisco,Zapopan,Carretera GUADALAJARA TEPIC 7355 int .,Colonia SAN JUAN DE OCOTAN,45019,3343822370,gerente.general@avdgdl.com.mx,Hotel,720,80
PROMOTORA DE HOTELES,Jalisco,Zapopan,Avenida LOPEZ MATEOS 5045 int 0,Colonia LA CALMA,45070,3335637100,,Hotel,721,43
"""LA ESPERANZA""",México,Aculco,Carretera ACULCO EL ROSAL KM 3 S/N int -,Colonia SANTA MARIA NATIVITAS,50360,,HOTEL_ACULCOLAESPERANZA@HOTMAIL.COM,Hotel,722,12
PLAZA REAL,México,Almoloya de Juárez,Carretera TOLUCA ATLACOMULCO - int -,Colonia MINA MEXICO,50900,,plazareal_demina@hotmail.com,Hotel,723,105
HOTEL Y MOTEL PLAZA FONTESANTA,México,Amecameca,Avenida HIDALGO 370 int NO TIENE,Colonia CENTRO,56900,,,Hotel,724,97
HACIENDA PANOAYA,México,Amecameca,Carretera MEXICO CUAUTLA 58 int NO TIENE,Colonia CENTRO,56900,,,Hotel,725,31
MOTEL ALCANFOR,México,Atenco,Prolongación MIGUEL HIDALGO S/N int ---,Colonia SAN FERMIN,56300,,,Hotel,726,87
HOTEL SAN ESTEBAN,México,Atlacomulco,Avenida ISIDRO FABELA 23-B int -,Colonia CENTRO,50450,7121652601,cptegp@gmail.com,Hotel,727,40
CANTALAGUA INN,México,Atlacomulco,Boulevard ISIDRO FABELA SUR 601 int -,Colonia SAN MARTIN,50450,7121222236,ADMINISTRACION@HOTELCANTALAGUAINN.COM,Hotel,728,29
HOTEL CUENDO,México,Atlacomulco,Calle LIB. JORGE JIMENEZ CANTU 1098 int SN,Colonia SAN MARTIN,50450,7121204146,CONTABILIDAD@HOTELCANTALAGUAINN.COM,Hotel,729,104
HOTEL CAMPESTRE AYAPANGO,México,Ayapango,Calle NACIONAL 50 int SN,Pueblo SAN CRISTOBAL POXTLA,56766,,,Hotel,730,26
SERVICIO DE HOTELERIA PACHUCA LUNA HOTELES,México,Coyotepec,Carretera TEOLOYUCAN-HUEHUETOCA KM. 20 S/N int SN,Colonia COYOTEPEC,54660,5500000000,,Hotel,731,19
HOTEL HUEHUETOCA,México,Coyotepec,Carretera TEOLOYUCAN-HUEHUETOCA KM 20 int SN,Colonia LA PLANADA,54660,5939143046,,Hotel,732,4
SERVICIO DE HOTELERIA PACHUCA LUNA HOTELES,México,Cuautitlán,Avenida AURORA DEL HIERRO 157 int SN,Colonia CUAUTITLAN CENTRO,54800,5500000000,,Hotel,733,6
HOTEL LAS VIAS,México,Cuautitlán,Avenida AURORA DE HIERRO 157 int SN,Barrio TECOAC,54800,5550867878,,Hotel,734,32
HOTEL CUAUTITLAN,México,Cuautitlán,Carretera CUAUTITLAN SN int SN,Colonia LAZARO CARDENAS,54870,5558701034,,Hotel,735,61
HOTELERIA PACHUCA,México,Cuautitlán,Carretera ESTATAL CUAUTITLAN-MELCHOR OCAMPO LT- 3 int SN,Colonia CUAUTITLAN CENTRO,54800,5500000000,,Hotel,736,79
HOTEL Y MOTEL REAL DE CHALCO SA DE CV,México,Chalco,Avenida CUAUHTÉMOC S/N int SN,Colonia SANTA CRUZ AMALINALCO,56600,5517341314,,Hotel,737,109
HOTEL VILLAS DE CHALCO,México,Chalco,Calle XOCHIQUETZAL 500 int S/N,Colonia CULTURAS  DE MEXIVBO,56660,,,Hotel,738,99
MOTELY HOTEL,México,Chalco,Carretera CHALCO.MIXQUIC 25 int SN,Pueblo SAN MATEO HUITZILZINGO,56625,5522367050,,Hotel,739,10
HOTEL SAN JOSE,México,Chiconcuac,Boulevard XOCHIMILCO SN int ---,Colonia SAN PEDRO,56270,,,Hotel,740,59
HOTEL CENTRO,México,Chiconcuac,Calle VENUSTIANO CARRANZA 2 int ---,Barrio SAN MIGUEL,56270,7297054389,peparevalo77@gmail.com,Hotel,741,54
HOTEL JORDAN,México,Chiconcuac,Prolongación 16 DE SEPTIEMBRE SN int ---,Colonia EJIDOS DE CHICONCUAC,56270,,jordan_hotel@hotmail.com,Hotel,742,81
"MOTOLIN DESARROLLADORA DE HOTELES, S.A. DE C.V.",México,Huehuetoca,Boulevard HUEHUETOCA-JOROBAS S/N int SN,Colonia HUEHUETOCA,54680,0159391633,,Hotel,743,74
HOTEL Y MOTEL SOL Y LUNAS,México,Ixtapaluca,Avenida CUAUHTEMOC 65 int SN,Colonia SAN JUAN TLALPIZAHUAC,56576,,,Hotel,744,25
HOTEL AYOTLA,México,Ixtapaluca,Avenida CUAUHTEMOC 37 int SN,Colonia AYOTLA,56560,5559740170,,Hotel,745,92
REAL CARI,México,Ixtapaluca,Boulevard SAN BUENVENTURA 9 int SN,Colonia LA VENTA,56530,,,Hotel,746,90
HOTEL IXTAPAN,México,Ixtapan de la Sal,Boulevard ARTURO SAN ROMAN SIN NUMERO int -,Barrio SAN GASPAR,51900,7211430021,MCEDEO_M@YAHOO.COM.MX,Hotel,747,50
HOTEL MONTANA,México,Ixtapan de la Sal,Carretera FEDERAL IXTAPAN-COATEPEC KM 1 int .,Colonia LINDA VISTA,51900,,,Hotel,748,64
REAL SAN FRANCISCO,México,Ixtlahuaca,Avenida LA ESTACION DEL FERROCARRIL - int -,Colonia -,50740,7296226968,hotelrealsanfrancisco@gmail.com,Hotel,749,52
HOTEL YAHALIS,México,Jilotepec,Avenida ABEL HUITRON Y AGUADO - int -,Colonia -,54240,5541312575,yahalis2023@hotmail.com,Hotel,750,32
MAZATLAN,México,Jilotepec,Avenida ISIDRO FABELA SUR - int -,Colonia ISIDRO FABELA,50450,7121921700,ora3812@gmail.com,Hotel,751,19
HOTEL EL MIRADOR,México,Jilotepec,Avenida LA AVELLANA SN EL DURAZNO DE CUAUHTEMOC - int -,Colonia EL DURAZNO DE CUAUHTEMOC,54243,5540793424,,Hotel,752,84
HOTEL XILONEN PALACE,México,Jilotepec,Calle ANDRES MOLINA ENRIQUEZ 117 int -,Colonia CENTRO,54240,7617342590,hxilonenpalace@yahoo.com,Hotel,753,89
HOTEL EJECUTIVO 8,México,Jocotitlán,Carretera DE CUOTA FEDERAL TOLUCA ATLACOMULCO - int -,Colonia SAN JOAQUIN,50734,7121365244,8HOTELEJECUTIVO@GMAIL.COM,Hotel,754,1
HOTEL VILLAS OJUELOS,México,Lerma,Avenida ADOLFO LOPEZ MATEOS - int -,Colonia NAPOLES,3810,7229147387,HVILLASOJUELOS@GMAIL.COM,Hotel,755,97
HOTEL HOLLYDAY IN EXPRESS TOLUCA,México,Lerma,Avenida PASEO TOLLOCAN 918 int SN,Colonia SANTANA TLAPALTITLAN,50160,7222799999,CLAUDIA.LOPEZ@HOTELESPRISMA.COM,Hotel,756,111
HOTEL CITY EXPRESS TOLUCA,México,Lerma,Boulevard AEREOPUERTO MIGUEL ALEMAN 55 int B,Colonia PARQUE INDUSTRIAL,52000,7222358500,cstlc.iront@citysuites.com.mx,Hotel,757,99
HOTEL QUINTA DEL REY,México,Metepec,Calle PUERTO DE VERACRUZ 2414 int -,Colonia SAN JERONIMO CHICAHUALCO,52170,7222758000,confirmaciones1@quintadelrey.com.mx,Hotel,758,14
HOTEL REAL DE SAN JAVIER,México,Metepec,Carretera TOLUCA-METEPEC 4 int SN,Barrio DEL ESPIRITU SANTO,52140,7222321668,HOTEL.REALDESANJAVIER@HOTMAIL.COM,Hotel,759,100
HOTEL Y MOTEL,México,Naucalpan de Juárez,Avenida INGENIEROS MILITARES 102 int NT,Colonia LOMAS DE SOTELO,53390,5555803677,HOTELPLAZATOREO@HOTMAIL.COM,Hotel,760,55
"OPERADORA QUIVIESA, S.A DE C.V.",México,Naucalpan de Juárez,Avenida PRIMERO DE MAYO 226 int NT,Colonia SAN ANDRES ATOTO,53500,5553592442,FACTURAS.FIRENZE.NAUCALPAN@GMAIL.COM,Hotel,761,29
"GRUPO GARROD, S.A DE C.C.",México,Naucalpan de Juárez,Avenida 1RO DE MAYO 226 int NT,Colonia SAN ANDRES ATOTO,53500,,,Hotel,762,23
FIESTA INN NAUCALPAN,México,Naucalpan de Juárez,Calzada DE LA NARANJA 174 int NT,Colonia ALCE BLANCO,53370,5553879910,SALVADOR.PEREZ@POSADAS.COM,Hotel,763,103
HOTEL MARAVILLAS,México,Nezahualcóyotl,Avenida CHIMALHUACAN 139 int 0,Colonia MARAVILLAS,57410,5557361620,MARAVILLASHOTEL@GMAIL.COM,Hotel,764,90
HOTEL CASA FAMILIAR,México,Nopaltepec,Calle IGNACIO M. ALTAMIRANO 2 int ---,Colonia ---,55970,,,Hotel,765,67
HOTEL CAPITAL,México,La Paz,Avenida ANDRES MOLINA MZ. 164 LT. 1 Y 2 int ---,Colonia VALLE DE LOS REYES,56430,5558552229,HOTELCAPITAL12@HOTMAIL.CM,Hotel,766,60
LAS CABAÑAS,México,San Felipe del Progreso,Avenida ALBERTO GARDUÑO 47 int -,Colonia -,50684,,contabilidad-gacsa@hotmail.com,Hotel,767,7
SAN FELIPE,México,San Felipe del Progreso,Avenida ALBERTO GARDUÑO 47 int -,Colonia CENTRO,50683,,contabilidad-gacsa@hotmail.com,Hotel,768,72
HOTEL PLAZA,México,San Felipe del Progreso,Calle ALBERTO GARDUÑO 47 int -,Colonia CENTRO,50640,7121235230,,Hotel,769,32
GRAN HOTEL,México,San Felipe del Progreso,Calle ALBERTO GARDUÑO 47 int -,Colonia CENTRO,50600,7121235230,contabilidad-gacsa@hotmail.com,Hotel,770,109
RESTURANTE EL JAGUAR,México,San Martín de las Pirámides,Calle PERIFERICO 209 int ---,Colonia PIRAMIDES,55850,,RESERVACIONES_JUAGUAR@HOTMAIL.COM,Hotel,771,16
SERVICIO DE HOTEL,México,San Martín de las Pirámides,Carretera PERIFERICO --- int ---,Colonia SAN MARTIN DE LAS PIRAMIDES,55850,,,Hotel,772,59
REST-INN DE MEXICO,México,Soyaniquilpan de Juárez,Calle EMILIANO ZAPATA - int -,Colonia -,54280,,compras@restinn.com.mx,Hotel,773,18
HOTEL LIBRAMIENTO,México,Tecámac,Carretera NACIONAL SN int SN,Colonia SANTA MARIA AJOCOAPAN,55750,5519565375,,Hotel,774,103
HOTELERIA PACHUCA,México,Tecámac,Carretera NACIONAL S/N int SN,Colonia SANTA MARIA AJOLOAPAN,55750,5500000000,,Hotel,775,60
REGALOS EL BAUL,México,Tejupilco,Avenida GUADALUPE VICTORIA 8 int SN,Colonia CENTRO,51400,,FACTURASREGISTRO@HOTMAIL.COM,Hotel,776,86
LA JOLLA,México,Tenancingo,Calle GUADALUPE VICTORIA - int -,Barrio EL SALITRE,52400,7141406750,jaimef48@gmail.com,Hotel,777,68
HOTEL MARGARITA,Puebla,Acatlán,Avenida JUAREZ 6 int S/N,Colonia CENTRO,74949,9535342777,,Hotel,778,72
AROMA,Puebla,Puebla,Calle 2 NORTE 406 int H,Colonia CENTRO,72000,2222381065,gmemorm@gmail.com,Hotel,779,77
SERVICIOS HOTELEROS CUAUTI,Puebla,Puebla,Calle 12 SUR 706 int NA,Barrio BARRIO DE ANALCO,72000,5585311013,d.gonzalez@hoteles.mx.com,Hotel,780,41
CASA ROSA,Puebla,Puebla,Calle 16 DE SEPTIEMBRE 313 int NA,Colonia CENTRO,72000,2222460825,casarosagranhotelboutique@gmail.com,Hotel,781,97
HOTEL POSADA SAN PEDRO,Puebla,Puebla,Calle 2 ORIENTE 202 int NA,Colonia PUEBLA CENTRO,72000,2222465077,seyer69_7@hotmail.com,Hotel,782,57
GRAND FIESTA AMERICANA PUEBLA,Puebla,Puebla,Calle OSA MAYOR 2507 int SIN NUMERO,Colonia RESERVA TERRITORIAL ATLIXCAYOTL,72190,2221221503,hector.jurado@posadas.com,Hotel,783,79
HOLIDAY INN,Puebla,Puebla,Carretera LATERAL AUTOPISTA MEXICO PUEBLA 7719 int N/A,Colonia RANCHO MORATILLA,72110,2222230024,ANGEL.VAZQUEZ@HINNPUEBLA.MX,Hotel,784,105
HOTEL LA VISTA S. DE RL DE C.V.,Puebla,San Martín Texmelucan,Calle AVENIDA LIBERTAD SUR 401-B int NO APLICA,Colonia CENTRO,74000,,,Hotel,785,93
HOTEL CRISTALI,Puebla,San Martín Texmelucan,Calle MORELOS ORIENTE 402 int NO APLICA,Colonia CENTRO,74000,,,Hotel,786,65
HOTEL MONROY,Puebla,Tehuacán,Avenida REFORMA NORTE 217 int s/n,Colonia CENTRO,75700,2383820491,HOTELMONROYTH@GMAIL.COM,Hotel,787,55
HOTEL CASA CANTARRANAS,Puebla,Tehuacán,Avenida JOSE GARCI-CRESPO 2215 int S/N,Colonia SAN NICOLAS TETITZINTLA,75710,2383834922,,Hotel,788,107
HOTEL PLAZA IBERIA,Puebla,Tehuacán,Avenida INDEPENDENCIA ORIENTE 211 int S/N,Colonia CENTRO,75700,2383831500,,Hotel,789,71
HOTEL CASA REAL,Puebla,Tehuacán,Avenida REFORMA SUR 206 int S/N,Colonia CENTRO,75700,2383849611,,Hotel,790,58
HOTELES SOLARIS DE MEXICO,Puebla,Tehuacán,Avenida INDEPENDENCIA PONIENTE 110 int NO,Colonia CENTRO,75700,2381529015,,Hotel,791,21
HOTEL CR,Puebla,Tehuacán,Avenida REFORMA SUR 307B int S/N,Colonia CENTRO,75700,2383825251,,Hotel,792,96
